Question|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
How did serfdom develop in and then leave Russia ?|How did|WRB|VBD|VB|DESC
What films featured the character Popeye Doyle ?|What films|WP|NNS|VBD|ENTY
How can I find a list of celebrities ' real names ?|How can|WRB|MD|VB|DESC
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|What fowl|WP|VBZ|VBZ|ENTY
What is the full form of .com ?|What is|WP|VBZ|VBZ|ABBR
What contemptible scoundrel stole the cork from my lunch ?|What contemptible|WP|JJ|VBD|HUM
What team did baseball's St. Louis Browns become ?|What team|WP|NN|VBN|HUM
What is the oldest profession ?|What is|WP|VBZ|VBZ|HUM
What are liver enzymes ?|What are|WP|VBP|VBP|DESC
Name the scar-faced bounty hunter of The Old West .||||VB|HUM
When was Ozzy Osbourne born ?|When was|WRB|VBD|VBN|NUM
Why do heavier objects travel downhill faster ?|Why do|WRB|VBP|VBP|DESC
Who was The Pride of the Yankees ?|Who was|WP|VBD|VBD|HUM
Who killed Gandhi ?|Who killed|WP|VBD|VBD|HUM
What is considered the costliest disaster the insurance industry has ever faced ?|What is|WP|VBZ|VBN|ENTY
What sprawling U.S. state boasts the most airports ?|What sprawling|WP|VBG|VBZ|LOC
What did the only repealed amendment to the U.S. Constitution deal with ?|What did|WP|VBD|VBD|DESC
How many Jews were executed in concentration camps during WWII ?|How many|WRB|JJ|VBN|NUM
What is '' Nine Inch Nails '' ?|What is|WP|VBZ|VBZ|DESC
What is an annotated bibliography ?|What is|WP|VBZ|VBZ|DESC
What is the date of Boxing Day ?|What is|WP|VBZ|VBZ|NUM
What articles of clothing are tokens in Monopoly ?|What articles|WDT|NNS|VBP|ENTY
Name 11 famous martyrs .||||NN|HUM
What's the Olympic motto ?|What 's|WP|VBZ|VBZ|DESC
What is the origin of the name ' Scarlett ' ?|What is|WP|VBZ|VBZ|DESC
What's the second-most-used vowel in English ?|What 's|WP|VBZ|VBZ|ENTY
Who was the inventor of silly putty ?|Who was|WP|VBD|VBD|HUM
What is the highest waterfall in the United States ?|What is|WP|VBZ|VBZ|LOC
Name a golf course in Myrtle Beach .||||NN|ENTY
Which two states enclose Chesapeake Bay ?|Which two|WDT|CD|VBP|LOC
What does the abbreviation AIDS stand for ?|What does|WP|VBZ|NN|ABBR
What does a spermologer collect ?|What does|WP|VBZ|VB|ENTY
How many points make up a perfect fivepin bowling score ?|How many|WRB|JJ|VBP|NUM
Which company that manufactures video-game hardware sells the '' super system '' ?|Which company that manufactures|WDT|VBZ|VBZ|HUM
How many Community Chest cards are there in Monopoly ?|How many|WRB|JJ|VBP|NUM
What do Mormons believe ?|What do|WP|VBP|VB|DESC
When did the neanderthal man live ?|When did|WRB|VBD|VB|NUM
In what religion was Isis the nature goddess ?|what religion|WP|NN|VBD|ENTY
Where do the adventures of '' The Swiss Family Robinson '' take place ?|Where do|WRB|VBP|WRB|LOC
What relative of the racoon is sometimes known as the cat-bear ?|What relative|WDT|NN|VBN|ENTY
How can I register my website in Yahoo for free ?|How can|WRB|MD|VB|DESC
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|What was|WP|VBD|VBD|ENTY
How many people in the world speak French ?|How many|WRB|JJ|VB|NUM
How many inches over six feet is the Venus de Milo ?|How many|WRB|JJ|VBZ|NUM
