#Question|QType|F-POS|F-DEP|F-ENT|F-SHAPE|F-TXT|Class
How did serfdom develop in and then leave Russia ?|DESC|VBD|aux|NON|xxx|did|NF
How did serfdom develop in and then leave Russia ?|DESC|NN|nsubj|NON|xxxx|serfdom|F
How did serfdom develop in and then leave Russia ?|DESC|RB|advmod|NON|xxxx|then|NF
How did serfdom develop in and then leave Russia ?|DESC|VB|conj|NON|xxxx|leave|F
How did serfdom develop in and then leave Russia ?|DESC|NNP|dobj|GPE|Xxxxx|Russia|F
What films featured the character Popeye Doyle ?|ENTY|NNS|nsubj|NON|xxxx|films|F
What films featured the character Popeye Doyle ?|ENTY|NN|dobj|NON|xxxx|character|F
What films featured the character Popeye Doyle ?|ENTY|NNP|compound|PERSON|Xxxxx|Popeye|F
What films featured the character Popeye Doyle ?|ENTY|NNP|appos|PERSON|Xxxxx|Doyle|F
How can I find a list of celebrities ' real names ?|DESC|MD|aux|NON|xxx|can|NF
How can I find a list of celebrities ' real names ?|DESC|NN|dobj|NON|xxxx|list|F
How can I find a list of celebrities ' real names ?|DESC|NNS|poss|NON|xxxx|celebrities|F
How can I find a list of celebrities ' real names ?|DESC|JJ|amod|NON|xxxx|real|F
How can I find a list of celebrities ' real names ?|DESC|NNS|pobj|NON|xxxx|names|F
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|ENTY|NN|dobj|NON|xxxx|spotlight|F
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|ENTY|NNP|compound|EVENT|Xxxxx|Chinese|F
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|ENTY|NNP|pobj|EVENT|Xxxx|Year|F
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|ENTY|NNP|pobj|EVENT|Xxxxx|Monkey|F
What is the full form of .com ?|ABBR|JJ|amod|NON|xxxx|full|F
What is the full form of .com ?|ABBR|NN|nsubj|NON|xxxx|form|F
What is the full form of .com ?|ABBR|NNP|pobj|NON|.xxx|.com|F
What contemptible scoundrel stole the cork from my lunch ?|HUM|JJ|amod|NON|xxxx|contemptible|F
What contemptible scoundrel stole the cork from my lunch ?|HUM|JJ|nsubj|NON|xxxx|scoundrel|F
What contemptible scoundrel stole the cork from my lunch ?|HUM|NN|dobj|NON|xxxx|cork|F
What contemptible scoundrel stole the cork from my lunch ?|HUM|PRP$|poss|NON|xx|my|NF
What contemptible scoundrel stole the cork from my lunch ?|HUM|NN|pobj|NON|xxxx|lunch|F
What team did baseball's St. Louis Browns become ?|HUM|NN|nsubj|NON|xxxx|team|F
What team did baseball's St. Louis Browns become ?|HUM|VBD|aux|NON|xxx|did|NF
What team did baseball's St. Louis Browns become ?|HUM|NN|poss|NON|xxxx|baseball|F
What team did baseball's St. Louis Browns become ?|HUM|NNP|compound|ORG|Xx.|St.|F
What team did baseball's St. Louis Browns become ?|HUM|NNP|compound|ORG|Xxxxx|Louis|F
What team did baseball's St. Louis Browns become ?|HUM|NNP|nsubj|ORG|Xxxxx|Browns|F
What is the oldest profession ?|HUM|JJS|amod|NON|xxxx|oldest|F
What is the oldest profession ?|HUM|NN|nsubj|NON|xxxx|profession|F
What are liver enzymes ?|DESC|JJ|compound|NON|xxxx|liver|F
What are liver enzymes ?|DESC|NNS|attr|NON|xxxx|enzymes|F
Name the scar-faced bounty hunter of The Old West .|HUM|NN|npadvmod|NON|xxxx|scar|F
Name the scar-faced bounty hunter of The Old West .|HUM|JJ|amod|NON|xxxx|faced|F
Name the scar-faced bounty hunter of The Old West .|HUM|NN|compound|NON|xxxx|bounty|F
Name the scar-faced bounty hunter of The Old West .|HUM|NN|dobj|NON|xxxx|hunter|F
Name the scar-faced bounty hunter of The Old West .|HUM|NNP|compound|PERSON|Xxx|Old|F
Name the scar-faced bounty hunter of The Old West .|HUM|NNP|pobj|PERSON|Xxxx|West|F
When was Ozzy Osbourne born ?|NUM|VBD|auxpass|NON|xxx|was|NF
When was Ozzy Osbourne born ?|NUM|NNP|compound|PERSON|Xxxx|Ozzy|F
When was Ozzy Osbourne born ?|NUM|NNP|nsubjpass|PERSON|Xxxxx|Osbourne|F
Why do heavier objects travel downhill faster ?|DESC|VBP|aux|NON|xx|do|NF
Why do heavier objects travel downhill faster ?|DESC|JJR|amod|NON|xxxx|heavier|F
Why do heavier objects travel downhill faster ?|DESC|NNS|nsubj|NON|xxxx|objects|F
Why do heavier objects travel downhill faster ?|DESC|RB|advmod|NON|xxxx|downhill|F
Why do heavier objects travel downhill faster ?|DESC|RBR|advmod|NON|xxxx|faster|F
Who was The Pride of the Yankees ?|HUM|NNP|nsubj|PERSON|Xxxxx|Pride|F
Who was The Pride of the Yankees ?|HUM|NNPS|pobj|ORG|Xxxxx|Yankees|F
Who killed Gandhi ?|HUM|NNP|dobj|PERSON|Xxxxx|Gandhi|F
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|VBZ|auxpass|NON|xx|is|NF
