#Question|QType|F-POS|F-DEP|F-ENT|F-SHAPE|F-TXT|Class
How did serfdom develop in and then leave Russia ?|DESC|VBD|aux|NON|xxx|did|NF
How did serfdom develop in and then leave Russia ?|DESC|NN|nsubj|NON|xxxx|serfdom|F
How did serfdom develop in and then leave Russia ?|DESC|VB|ROOT|NON|xxxx|develop|F
How did serfdom develop in and then leave Russia ?|DESC|VB|conj|NON|xxxx|leave|F
How did serfdom develop in and then leave Russia ?|DESC|NNP|dobj|GPE|Xxxxx|Russia|F
What films featured the character Popeye Doyle ?|ENTY|WP|det|NON|Xxxx|What|NF
What films featured the character Popeye Doyle ?|ENTY|NNS|nsubj|NON|xxxx|films|F
What films featured the character Popeye Doyle ?|ENTY|VBD|ROOT|NON|xxxx|featured|NF
What films featured the character Popeye Doyle ?|ENTY|NN|dobj|NON|xxxx|character|F
What films featured the character Popeye Doyle ?|ENTY|NNP|compound|PERSON|Xxxxx|Popeye|NF
What films featured the character Popeye Doyle ?|ENTY|NNP|appos|PERSON|Xxxxx|Doyle|NF
How can I find a list of celebrities ' real names ?|DESC|MD|aux|NON|xxx|can|NF
How can I find a list of celebrities ' real names ?|DESC|VB|ROOT|NON|xxxx|find|NF
How can I find a list of celebrities ' real names ?|DESC|NN|dobj|NON|xxxx|list|NF
How can I find a list of celebrities ' real names ?|DESC|NNS|poss|NON|xxxx|celebrities|NF
How can I find a list of celebrities ' real names ?|DESC|JJ|amod|NON|xxxx|real|NF
How can I find a list of celebrities ' real names ?|DESC|NNS|pobj|NON|xxxx|names|NF
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|ENTY|WP|nsubj|NON|Xxxx|What|NF
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|ENTY|VBZ|ROOT|NON|xxxx|fowl|NF
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|ENTY|NN|dobj|NON|xxxx|spotlight|NF
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|ENTY|NNP|compound|EVENT|Xxxxx|Chinese|NF
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|ENTY|NNP|pobj|EVENT|Xxxx|Year|NF
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|ENTY|NNP|pobj|EVENT|Xxxxx|Monkey|NF
What is the full form of .com ?|ABBR|WP|attr|NON|Xxxx|What|NF
What is the full form of .com ?|ABBR|VBZ|ROOT|NON|xx|is|NF
What is the full form of .com ?|ABBR|JJ|amod|NON|xxxx|full|NF
What is the full form of .com ?|ABBR|NN|nsubj|NON|xxxx|form|NF
What is the full form of .com ?|ABBR|NNP|pobj|NON|.xxx|.com|NF
What contemptible scoundrel stole the cork from my lunch ?|HUM|WP|dobj|NON|Xxxx|What|NF
What contemptible scoundrel stole the cork from my lunch ?|HUM|JJ|amod|NON|xxxx|contemptible|NF
What contemptible scoundrel stole the cork from my lunch ?|HUM|JJ|nsubj|NON|xxxx|scoundrel|NF
What contemptible scoundrel stole the cork from my lunch ?|HUM|VBD|ROOT|NON|xxxx|stole|NF
What contemptible scoundrel stole the cork from my lunch ?|HUM|NN|dobj|NON|xxxx|cork|NF
What contemptible scoundrel stole the cork from my lunch ?|HUM|PRP$|poss|NON|xx|my|NF
What contemptible scoundrel stole the cork from my lunch ?|HUM|NN|pobj|NON|xxxx|lunch|NF
What team did baseball's St. Louis Browns become ?|HUM|WP|det|NON|Xxxx|What|NF
What team did baseball's St. Louis Browns become ?|HUM|NN|nsubj|NON|xxxx|team|NF
What team did baseball's St. Louis Browns become ?|HUM|VBD|aux|NON|xxx|did|NF
What team did baseball's St. Louis Browns become ?|HUM|NN|poss|NON|xxxx|baseball|NF
What team did baseball's St. Louis Browns become ?|HUM|NNP|compound|ORG|Xx.|St.|NF
What team did baseball's St. Louis Browns become ?|HUM|NNP|compound|ORG|Xxxxx|Louis|NF
What team did baseball's St. Louis Browns become ?|HUM|NNP|nsubj|ORG|Xxxxx|Browns|NF
What team did baseball's St. Louis Browns become ?|HUM|VBN|ROOT|NON|xxxx|become|NF
What is the oldest profession ?|HUM|WP|attr|NON|Xxxx|What|NF
What is the oldest profession ?|HUM|VBZ|ROOT|NON|xx|is|NF
What is the oldest profession ?|HUM|JJS|amod|NON|xxxx|oldest|NF
What is the oldest profession ?|HUM|NN|nsubj|NON|xxxx|profession|NF
What are liver enzymes ?|DESC|WP|nsubj|NON|Xxxx|What|NF
What are liver enzymes ?|DESC|VBP|ROOT|NON|xxx|are|NF
What are liver enzymes ?|DESC|JJ|compound|NON|xxxx|liver|NF
What are liver enzymes ?|DESC|NNS|attr|NON|xxxx|enzymes|NF
Name the scar-faced bounty hunter of The Old West .|HUM|VB|ROOT|NON|Xxxx|Name|NF
Name the scar-faced bounty hunter of The Old West .|HUM|NN|npadvmod|NON|xxxx|scar|NF
Name the scar-faced bounty hunter of The Old West .|HUM|JJ|amod|NON|xxxx|faced|NF
